---------- Thickness Values (um) of PbWhite ----------
row	column	thickness
11	63	2.674153
11	64	0.000000
11	65	0.566422
11	66	0.000000
11	67	0.000000
11	68	0.000000
11	69	0.000000
11	70	0.000000
11	71	0.000000
11	72	0.000000
11	73	0.000000
11	74	0.000000
11	75	0.000000
11	76	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.000000
12	7	0.000000
12	8	0.000000
12	9	0.000000
12	10	5.154964
12	11	3.690910
12	12	2.532949
12	13	4.237897
12	14	2.806166
12	15	5.611194
12	16	4.251160
12	17	3.149178
12	18	2.160398
12	19	3.551965
12	20	3.852917
12	21	4.124144
12	22	2.673003
12	23	3.473148
12	24	5.821157
12	25	6.068400
12	26	2.123947
12	27	4.392723
12	28	5.858047
12	29	4.851842
12	30	3.918573
12	31	0.000000
12	32	6.105234
12	33	4.078082
12	34	5.564987
12	35	4.766748
12	36	8.507388
12	37	3.982389
12	38	3.833806
12	39	4.575483
12	40	4.762080
12	41	4.914706
12	42	3.299454
12	43	2.442976
12	44	3.263754
12	45	3.681440
12	46	5.109365
12	47	4.344436
12	48	3.292713
12	49	4.529061
12	50	3.277403
12	51	2.885093
12	52	3.258615
12	53	5.114664
12	54	4.323716
12	55	4.702626
12	56	4.554446
12	57	6.179185
12	58	5.142543
12	59	4.402963
12	60	4.084822
12	61	6.200406
12	62	5.495643
12	63	4.290523
12	64	5.536309
12	65	5.375980
12	66	10.511359
12	67	0.000000
12	68	0.000000
12	69	0.000000
12	70	0.000000
12	71	0.000000
12	72	0.000000
12	73	0.000000
12	74	0.000000
12	75	0.000000
12	76	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
13	6	0.000000
13	7	0.000000
13	8	0.000000
13	9	2.286601
13	10	3.244416
13	11	5.185818
13	12	5.229787
13	13	3.780378
13	14	3.910854
13	15	5.378135
13	16	5.189032
13	17	4.080260
13	18	5.607603
13	19	2.551164
13	20	5.097846
13	21	5.461102
13	22	6.696733
13	23	4.565896
13	24	3.685061
13	25	0.000000
13	26	2.971744
13	27	3.203519
13	28	5.174782
13	29	6.398717
13	30	5.798273
13	31	5.976992
13	32	2.271300
13	33	5.578961
13	34	3.842899
13	35	5.704002
13	36	4.226029
13	37	6.305107
13	38	6.325202
13	39	6.995844
13	40	7.039293
13	41	3.830462
13	42	4.999088
13	43	4.167462
13	44	5.315560
13	45	4.144669
13	46	4.820784
13	47	3.789840
13	48	2.076290
13	49	5.666962
13	50	0.000000
13	51	6.610015
13	52	3.418818
13	53	3.435221
13	54	5.399789
13	55	4.407757
13	56	4.067596
13	57	4.768451
13	58	4.992599
13	59	5.895270
13	60	8.753847
13	61	3.211716
13	62	5.291792
13	63	3.867595
13	64	5.679610
13	65	6.034474
13	66	4.906495
13	67	8.603042
13	68	0.000000
13	69	0.000000
13	70	0.000000
13	71	0.000000
13	72	0.000000
13	73	0.000000
13	74	0.000000
13	75	0.000000
13	76	0.000000
14	0	0.000000
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.000000
14	5	0.000000
14	6	0.000000
14	7	0.000000
14	8	0.000000
14	9	0.000000
14	10	4.441814
14	11	0.000000
14	12	4.133332
14	13	2.480616
14	14	3.300715
14	15	1.839179
14	16	1.753251
14	17	5.091050
14	18	4.179448
14	19	3.205540
14	20	2.934107
14	21	3.620692
14	22	0.000000
14	23	2.179935
14	24	3.265730
14	25	0.000000
14	26	0.000000
14	27	0.210034
14	28	4.901001
14	29	4.050656
14	30	5.209614
14	31	6.147813
14	32	5.401384
14	33	4.884220
14	34	3.285290
14	35	5.410215
14	36	5.704717
14	37	6.432917
14	38	5.693546
14	39	8.017719
14	40	5.976992
14	41	6.611446
14	42	3.325283
14	43	4.540947
14	44	4.846095
14	45	3.079701
14	46	3.826867
14	47	3.152863
14	48	5.059306
14	49	0.000000
14	50	5.432959
14	51	4.690550
14	52	2.737666
14	53	5.064803
14	54	3.889936
14	55	4.120437
14	56	5.735634
14	57	6.253426
14	58	4.022970
14	59	5.806853
14	60	3.315697
14	61	4.236711
14	62	3.187036
14	63	7.803655
14	64	6.509933
14	65	2.558634
14	66	5.886803
14	67	3.358279
14	68	0.000000
14	69	0.000000
14	70	0.000000
14	71	0.000000
14	72	0.000000
14	73	0.000000
14	74	0.000000
14	75	0.000000
14	76	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.000000
15	5	0.000000
15	6	0.000000
15	7	0.000000
15	8	6.140922
15	9	4.096807
15	10	3.242505
15	11	3.328037
15	12	3.873802
15	13	3.954866
15	14	4.853803
15	15	2.315742
15	16	3.592697
15	17	3.285394
15	18	3.863832
15	19	3.538189
15	20	3.992493
15	21	3.948967
15	22	3.481814
15	23	0.000000
15	24	3.655397
15	25	5.068096
15	26	4.884257
15	27	7.278452
15	28	5.327793
15	29	5.073053
15	30	2.600085
15	31	4.184730
15	32	6.192984
15	33	4.109683
15	34	5.130733
15	35	4.487213
15	36	2.786283
15	37	2.753319
15	38	1.886404
15	39	5.060155
15	40	7.243721
15	41	5.506913
15	42	5.363952
15	43	3.983553
15	44	4.316098
15	45	5.555640
15	46	6.247469
15	47	4.476847
15	48	3.533741
15	49	3.005737
15	50	5.043999
15	51	4.188843
15	52	5.021215
15	53	5.347145
15	54	3.842679
15	55	4.739651
15	56	6.494047
15	57	6.860776
15	58	5.943620
15	59	5.868389
15	60	5.921831
15	61	6.074013
