---------- Counts of Element Pb ----------
row	column	line1	line2	ratio
16	21	33	39	0.838987
17	0	31	21	1.452388
17	1	32	27	1.187732
17	2	31	23	1.334062
17	3	43	15	2.814324
17	4	33	17	1.911619
17	5	49	35	1.370934
17	6	39	25	1.568462
17	7	51	32	1.589186
17	8	40	19	2.114298
17	9	54	34	1.582684
17	10	65	42	1.560483
17	11	42	47	0.886049
17	12	63	45	1.403621
17	13	51	39	1.316949
17	14	65	29	2.211947
17	15	46	33	1.412741
17	16	63	34	1.827393
17	17	56	54	1.032399
17	18	50	26	1.926923
17	19	56	45	1.242341
17	20	47	25	1.880077
17	21	47	31	1.483186
18	0	26	20	1.269187
18	1	26	17	1.518232
18	2	30	31	0.984419
18	3	41	28	1.480628
18	4	25	26	0.961398
18	5	34	41	0.835994
18	6	47	31	1.519301
18	7	43	26	1.677548
18	8	58	36	1.592661
18	9	49	28	1.761947
18	10	60	20	3.035155
18	11	63	33	1.873903
18	12	65	45	1.463056
18	13	63	32	1.980665
18	14	62	37	1.664820
18	15	57	39	1.470619
18	16	61	33	1.832103
18	17	49	32	1.536160
18	18	74	49	1.521076
18	19	54	38	1.431326
18	20	66	21	3.077316
18	21	41	26	1.591329
19	0	25	26	0.985083
19	1	33	29	1.139355
19	2	21	20	1.011674
19	3	40	24	1.606003
19	4	33	27	1.210168
19	5	29	22	1.315222
19	6	37	26	1.398952
19	7	27	38	0.697021
19	8	38	33	1.132192
19	9	45	30	1.486487
19	10	55	39	1.417706
19	11	41	34	1.209074
19	12	57	32	1.752430
19	13	37	33	1.125901
19	14	56	35	1.625502
19	15	35	28	1.234930
19	16	37	17	2.165499
19	17	60	25	2.425001
19	18	54	37	1.436344
19	19	50	34	1.452351
19	20	40	28	1.447791
19	21	32	26	1.229424
20	0	24	18	1.286372
20	1	20	31	0.655651
20	2	20	26	0.766294
20	3	23	20	1.143873
20	4	32	30	1.073117
20	5	46	22	2.115756
20	6	38	29	1.277072
20	7	39	21	1.841758
20	8	45	38	1.183641
20	9	41	32	1.273951
20	10	59	38	1.557661
20	11	60	38	1.580123
20	12	57	37	1.533133
20	13	42	40	1.034490
20	14	51	28	1.825164
20	15	50	42	1.205133
20	16	51	44	1.151185
20	17	31	30	1.050333
20	18	69	39	1.748311
20	19	46	22	2.055586
20	20	44	31	1.407684
20	21	46	33	1.371395
21	0	34	31	1.090229
21	1	31	21	1.464181
21	2	37	18	2.029184
21	3	26	26	0.985324
21	4	28	23	1.185892
21	5	24	20	1.225443
21	6	31	21	1.505077
21	7	32	34	0.944033
21	8	38	21	1.822212
21	9	44	18	2.479563
21	10	39	22	1.727032
21	11	32	34	0.953186
21	12	32	32	1.001957
21	13	43	24	1.781515
21	14	44	30	1.453986
21	15	45	34	1.309793
21	16	50	26	1.874051
21	17	57	21	2.715993
21	18	55	20	2.726638
21	19	49	31	1.571179
21	20	39	28	1.394887
21	21	48	32	1.478308
22	0	22	15	1.453847
22	1	30	15	1.978707
22	2	44	31	1.391759
22	3	31	17	1.743894
22	4	38	11	3.343315
22	5	15	23	0.669389
22	6	29	23	1.221232
