---------- Counts of Element Ca ----------
row	column	line1	line2	ratio
15	20	13	0	inf
15	21	12	0	inf
16	0	16	0	inf
16	1	11	0	inf
16	2	14	0	inf
16	3	16	0	inf
16	4	15	0	inf
16	5	14	0	inf
16	6	14	0	inf
16	7	16	0	inf
16	8	18	0	inf
16	9	17	0	inf
16	10	19	0	inf
16	11	17	0	inf
16	12	14	0	inf
16	13	17	0	inf
16	14	13	0	inf
16	15	20	0	inf
16	16	13	0	inf
16	17	20	0	inf
16	18	14	0	inf
16	19	18	0	inf
16	20	10	0	inf
16	21	13	0	inf
17	0	13	0	inf
17	1	10	0	inf
17	2	10	0	inf
17	3	11	0	inf
17	4	13	0	inf
17	5	17	0	inf
17	6	19	0	inf
17	7	16	0	inf
17	8	12	0	inf
17	9	12	0	inf
17	10	9	0	inf
17	11	15	0	inf
17	12	23	0	inf
17	13	16	0	inf
17	14	9	0	inf
17	15	16	0	inf
17	16	12	0	inf
17	17	24	0	inf
17	18	15	0	inf
17	19	14	0	inf
17	20	10	0	inf
17	21	8	0	inf
18	0	13	0	inf
18	1	17	0	inf
18	2	17	0	inf
18	3	13	0	inf
18	4	11	0	inf
18	5	15	0	inf
18	6	19	0	inf
18	7	15	0	inf
18	8	18	0	inf
18	9	13	0	inf
18	10	16	0	inf
18	11	21	0	inf
18	12	18	0	inf
18	13	15	0	inf
18	14	9	0	inf
18	15	12	0	inf
18	16	11	0	inf
18	17	24	0	inf
18	18	19	0	inf
18	19	14	0	inf
18	20	13	0	inf
18	21	11	0	inf
19	0	8	0	inf
19	1	16	0	inf
19	2	16	0	inf
19	3	17	0	inf
19	4	21	0	inf
19	5	8	0	inf
19	6	22	0	inf
19	7	12	0	inf
19	8	18	0	inf
19	9	14	0	inf
19	10	10	0	inf
19	11	18	0	inf
19	12	16	0	inf
19	13	9	0	inf
19	14	15	0	inf
19	15	10	0	inf
19	16	14	0	inf
19	17	17	0	inf
19	18	23	0	inf
19	19	16	0	inf
19	20	13	0	inf
19	21	19	0	inf
20	0	9	0	inf
20	1	13	0	inf
20	2	9	0	inf
20	3	11	0	inf
20	4	12	0	inf
20	5	17	0	inf
20	6	11	0	inf
20	7	10	0	inf
20	8	11	0	inf
20	9	20	0	inf
